day,country_code,request_types,requests
2021-05-21,US,New Envelope,4480748.0
2021-05-21,US,RTIS,84680920.0
2021-05-21,US,Refresh,4687147.0
2021-05-21,US,auth,3694355.4131199992
2021-05-22,US,New Envelope,4167493.0
2021-05-22,US,RTIS,70884195.0
2021-05-22,US,Refresh,3928658.0
2021-05-22,US,auth,3332685.1059199981
2021-05-23,US,New Envelope,4021658.0
2021-05-23,US,RTIS,74446961.0
2021-05-23,US,Refresh,3869671.0
2021-05-23,US,auth,3234900.60352
2021-05-24,US,New Envelope,4806597.0
2021-05-24,US,RTIS,93897737.0
2021-05-24,US,Refresh,4937617.0
2021-05-24,US,auth,3941323.0636799992
2021-05-25,US,New Envelope,4806667.0
2021-05-25,US,RTIS,92371898.0
2021-05-25,US,Refresh,5022274.0
2021-05-25,US,auth,3961680.8844800009
2021-05-26,US,New Envelope,4664090.0
2021-05-26,US,RTIS,92791698.0
2021-05-26,US,Refresh,4325496.0
2021-05-26,US,auth,3712694.8095999979
2021-05-27,US,New Envelope,4558586.0
2021-05-27,US,RTIS,88471133.0
2021-05-27,US,Refresh,4624217.0
2021-05-27,US,auth,3723887.6358399997
2021-05-28,US,New Envelope,4470506.0
2021-05-28,US,RTIS,83926418.0
2021-05-28,US,Refresh,4841153.0
2021-05-28,US,auth,3725443.68064
2021-05-29,US,New Envelope,3932064.0
2021-05-29,US,RTIS,71343302.0
2021-05-29,US,Refresh,3985644.0
2021-05-29,US,auth,3211357.3401599997
2021-05-30,US,New Envelope,3794471.0
2021-05-30,US,RTIS,71814315.0
2021-05-30,US,Refresh,3871203.0
2021-05-30,US,auth,3104990.17024
2021-05-31,US,New Envelope,4118325.0
2021-05-31,US,RTIS,74044977.0
2021-05-31,US,Refresh,4098298.0
2021-05-31,US,auth,3345203.8080000007
2021-06-01,US,New Envelope,4676616.0
2021-06-01,US,RTIS,86864319.0
2021-06-01,US,Refresh,4798561.0
2021-06-01,US,auth,3833413.319039999
2021-06-02,US,New Envelope,5575253.0
2021-06-02,US,RTIS,87563174.0
2021-06-02,US,Refresh,4941478.0
2021-06-02,US,auth,4383027.80032
2021-06-03,US,New Envelope,4735035.0
2021-06-03,US,RTIS,87899703.0
2021-06-03,US,Refresh,4878041.0
2021-06-03,US,auth,3885988.3103999994
2021-06-04,US,New Envelope,4562839.0
2021-06-04,US,RTIS,82838958.0
2021-06-04,US,Refresh,4682970.0
2021-06-04,US,auth,3740427.196159997
2021-06-05,US,New Envelope,4269919.0
2021-06-05,US,RTIS,69845324.0
2021-06-05,US,Refresh,4079388.0
2021-06-05,US,auth,3427595.4713599989
2021-06-06,US,New Envelope,4547244.0
2021-06-06,US,RTIS,72956073.0
2021-06-06,US,Refresh,4093475.0
2021-06-06,US,auth,3590005.5993600003
2021-06-07,US,New Envelope,33281415.0
2021-06-07,US,RTIS,91137147.0
2021-06-07,US,Refresh,5022300.0
2021-06-07,US,auth,20290246.617600013
2021-06-08,US,New Envelope,38122629.0
2021-06-08,US,RTIS,88427510.0
2021-06-08,US,Refresh,5062396.0
2021-06-08,US,auth,23076015.413759995
2021-06-09,US,New Envelope,24463226.0
2021-06-09,US,RTIS,86259369.0
2021-06-09,US,Refresh,5131405.0
2021-06-09,US,auth,15259729.517440002
2021-06-10,US,New Envelope,9604906.0
2021-06-10,US,RTIS,83080127.0
2021-06-10,US,Refresh,5049010.0
2021-06-10,US,auth,6719599.69664
2021-06-11,US,New Envelope,10940296.0
2021-06-11,US,RTIS,80219276.0
2021-06-11,US,Refresh,4833034.0
2021-06-11,US,auth,7433531.4982400015
2021-06-12,US,New Envelope,9576516.0
2021-06-12,US,RTIS,69921843.0
2021-06-12,US,Refresh,3021800.0
2021-06-12,US,auth,6216789.3350399965
2021-06-13,US,New Envelope,9419682.0
2021-06-13,US,RTIS,72329447.0
2021-06-13,US,Refresh,2922578.0
2021-06-13,US,auth,6103041.166079998
2021-06-14,US,New Envelope,11152979.0
2021-06-14,US,RTIS,87467790.0
2021-06-14,US,Refresh,3719852.0
2021-06-14,US,auth,7288328.7577600041
2021-06-15,US,New Envelope,9700372.0
2021-06-15,US,RTIS,84890304.0
2021-06-15,US,Refresh,3805373.0
2021-06-15,US,auth,6475870.8396800021
2021-06-16,US,New Envelope,9514438.0
2021-06-16,US,RTIS,88430800.0
2021-06-16,US,Refresh,3714218.0
2021-06-16,US,auth,6347371.6467200005
2021-06-17,US,New Envelope,9401795.0
2021-06-17,US,RTIS,88382638.0
2021-06-17,US,Refresh,3677721.0
2021-06-17,US,auth,6274018.3647999968
2021-06-18,US,New Envelope,9268154.0
2021-06-18,US,RTIS,83335822.0
2021-06-18,US,Refresh,3508055.0
2021-06-18,US,auth,6156663.42976
2021-06-19,US,New Envelope,9035581.0
2021-06-19,US,RTIS,73765284.0
2021-06-19,US,Refresh,2965066.0
2021-06-19,US,auth,5892979.4086399991
2021-06-20,US,New Envelope,8900846.0
2021-06-20,US,RTIS,72075731.0
2021-06-20,US,Refresh,2940074.0
2021-06-20,US,auth,5809718.8902400006
2021-06-21,US,New Envelope,9799676.0
2021-06-21,US,RTIS,91701790.0
2021-06-21,US,Refresh,3949962.0
2021-06-21,US,auth,6567517.0854400005
2021-06-22,US,New Envelope,9599888.0
2021-06-22,US,RTIS,93860916.0
2021-06-22,US,Refresh,3980556.0
2021-06-22,US,auth,6460293.2147200005
2021-06-23,US,New Envelope,9508887.0
2021-06-23,US,RTIS,93633517.0
2021-06-23,US,Refresh,3883520.0
2021-06-23,US,auth,6384820.9612799976
2021-06-24,US,New Envelope,10054468.0
2021-06-24,US,RTIS,93677694.0
2021-06-24,US,Refresh,3858832.0
2021-06-24,US,auth,6691753.8099199962
2021-06-25,US,New Envelope,9430263.0
2021-06-25,US,RTIS,88792605.0
2021-06-25,US,Refresh,3746555.0
2021-06-25,US,auth,6306863.2147200042
2021-06-26,US,New Envelope,9128015.0
2021-06-26,US,RTIS,76741604.0
2021-06-26,US,Refresh,3146800.0
2021-06-26,US,auth,5989600.9215999981
2021-06-27,US,New Envelope,9242694.0
2021-06-27,US,RTIS,77909886.0
2021-06-27,US,Refresh,3106336.0
2021-06-27,US,auth,6045651.0873599984
2021-06-28,US,New Envelope,10041088.0
2021-06-28,US,RTIS,93629373.0
2021-06-28,US,Refresh,3998237.0
2021-06-28,US,auth,6717538.3827199982
2021-06-29,US,New Envelope,9406595.0
2021-06-29,US,RTIS,92929228.0
2021-06-29,US,Refresh,4035928.0
2021-06-29,US,auth,6362740.5567999966
2021-06-30,US,New Envelope,9517603.0
2021-06-30,US,RTIS,91393675.0
2021-06-30,US,Refresh,4026232.0
2021-06-30,US,auth,6424069.9443200007
2021-07-01,US,New Envelope,9415726.0
2021-07-01,US,RTIS,90523522.0
2021-07-01,US,Refresh,4024648.0
2021-07-01,US,auth,6365269.4374400005
2021-07-02,US,New Envelope,8961526.0
2021-07-02,US,RTIS,85744586.0
2021-07-02,US,Refresh,3738924.0
2021-07-02,US,auth,6036239.2294400008
2021-07-03,US,New Envelope,8691992.0
2021-07-03,US,RTIS,75612428.0
2021-07-03,US,Refresh,3133983.0
2021-07-03,US,auth,5736491.81248
2021-07-04,US,New Envelope,8679534.0
2021-07-04,US,RTIS,73144668.0
2021-07-04,US,Refresh,3015320.0
2021-07-04,US,auth,5700868.7769599985
2021-07-05,US,New Envelope,9187276.0
2021-07-05,US,RTIS,78371917.0
2021-07-05,US,Refresh,3350823.0
2021-07-05,US,auth,6072549.0694400007
2021-07-06,US,New Envelope,9679663.0
2021-07-06,US,RTIS,92249670.0
2021-07-06,US,Refresh,4017807.0
2021-07-06,US,auth,6514979.6307199989
2021-07-07,US,New Envelope,9457898.0
2021-07-07,US,RTIS,93633941.0
2021-07-07,US,Refresh,4127326.0
2021-07-07,US,auth,6414095.2691200022
2021-07-08,US,New Envelope,9597298.0
2021-07-08,US,RTIS,91021798.0
2021-07-08,US,Refresh,4064345.0
2021-07-08,US,auth,6478917.3651200011
2021-07-09,US,New Envelope,9254001.0
2021-07-09,US,RTIS,86184069.0
2021-07-09,US,Refresh,3821009.0
2021-07-09,US,auth,6223656.4934399985
2021-07-10,US,New Envelope,8879096.0
2021-07-10,US,RTIS,74592560.0
2021-07-10,US,Refresh,3162529.0
2021-07-10,US,auth,5850635.7702400014
2021-07-11,US,New Envelope,9247908.0
2021-07-11,US,RTIS,78880633.0
2021-07-11,US,Refresh,3162540.0
2021-07-11,US,auth,6062129.9635200016
2021-07-12,US,New Envelope,9482272.0
2021-07-12,US,RTIS,92346083.0
2021-07-12,US,Refresh,4059345.0
2021-07-12,US,auth,6411756.8556800028
2021-07-13,US,New Envelope,9408433.0
2021-07-13,US,RTIS,91879336.0
2021-07-13,US,Refresh,4106345.0
2021-07-13,US,auth,6380694.6195199983
2021-07-14,US,New Envelope,9272719.0
2021-07-14,US,RTIS,90673313.0
2021-07-14,US,Refresh,4095771.0
2021-07-14,US,auth,6300333.0233599963
2021-07-15,US,New Envelope,8947164.0
2021-07-15,US,RTIS,89048363.0
2021-07-15,US,Refresh,4017584.0
2021-07-15,US,auth,6094881.8841600046
2021-07-16,US,New Envelope,9082987.0
2021-07-16,US,RTIS,87021817.0
2021-07-16,US,Refresh,3900583.0
2021-07-16,US,auth,6144687.9852800025
2021-07-17,US,New Envelope,8591045.0
2021-07-17,US,RTIS,77148389.0
2021-07-17,US,Refresh,3487665.0
2021-07-17,US,auth,5763488.4448000016
2021-07-18,US,New Envelope,9241041.0
2021-07-18,US,RTIS,79713864.0
2021-07-18,US,Refresh,3595581.0
2021-07-18,US,auth,6162121.9910400007
2021-07-19,US,New Envelope,9102560.0
2021-07-19,US,RTIS,95242962.0
2021-07-19,US,Refresh,4368395.0
2021-07-19,US,auth,6268186.806400002
2021-07-20,US,New Envelope,9311942.0
2021-07-20,US,RTIS,94557644.0
2021-07-20,US,Refresh,4463357.0
2021-07-20,US,auth,6411045.70048
2021-07-21,US,New Envelope,9211781.0
2021-07-21,US,RTIS,92775088.0
2021-07-21,US,Refresh,4469383.0
2021-07-21,US,auth,6355055.6166400062
2021-07-22,US,New Envelope,8402401.0
2021-07-22,US,RTIS,92596264.0
2021-07-22,US,Refresh,4423503.0
2021-07-22,US,auth,5879913.54944
2021-07-23,US,New Envelope,8131428.0
2021-07-23,US,RTIS,88346281.0
2021-07-23,US,Refresh,4304088.0
2021-07-23,US,auth,5695867.1923200013
2021-07-24,US,New Envelope,7930058.0
2021-07-24,US,RTIS,77946307.0
2021-07-24,US,Refresh,3656520.0
2021-07-24,US,auth,5424977.259519998
2021-07-25,US,New Envelope,7924001.0
2021-07-25,US,RTIS,81534425.0
2021-07-25,US,Refresh,3649039.0
2021-07-25,US,auth,5419708.49344
2021-07-26,US,New Envelope,8328507.0
2021-07-26,US,RTIS,93321376.0
2021-07-26,US,Refresh,4422978.0
2021-07-26,US,auth,5837413.7740800008
2021-07-27,US,New Envelope,8156289.0
2021-07-27,US,RTIS,95658901.0
2021-07-27,US,Refresh,4535763.0
2021-07-27,US,auth,5765725.4841600014
2021-07-28,US,New Envelope,7649214.0
2021-07-28,US,RTIS,93840288.0
2021-07-28,US,Refresh,4626619.0
2021-07-28,US,auth,5496753.8361599986
2021-07-29,US,New Envelope,7978709.0
2021-07-29,US,RTIS,93501173.0
2021-07-29,US,Refresh,4641263.0
2021-07-29,US,auth,5689214.0089599984
2021-07-30,US,New Envelope,6661585.0
2021-07-30,US,RTIS,74393230.0
2021-07-30,US,Refresh,3747015.0
2021-07-30,US,auth,4719302.9023999991
2021-07-31,US,New Envelope,6985720.0
2021-07-31,US,RTIS,77019352.0
2021-07-31,US,Refresh,3757060.0
2021-07-31,US,auth,4907585.6768000023
2021-08-01,US,New Envelope,7535626.0
2021-08-01,US,RTIS,80378157.0
2021-08-01,US,Refresh,3743042.0
2021-08-01,US,auth,5219559.45344
2021-08-02,US,New Envelope,8163284.0
2021-08-02,US,RTIS,93847245.0
2021-08-02,US,Refresh,4572279.0
2021-08-02,US,auth,5778500.536960003
2021-08-03,US,New Envelope,8495214.0
2021-08-03,US,RTIS,94817105.0
2021-08-03,US,Refresh,4734131.0
2021-08-03,US,auth,6007686.9561599987
2021-08-04,US,New Envelope,8037095.0
2021-08-04,US,RTIS,93649102.0
2021-08-04,US,Refresh,4747605.0
2021-08-04,US,auth,5748216.9567999989
2021-08-05,US,New Envelope,7756641.0
2021-08-05,US,RTIS,91828174.0
