day,request_types,total_requests,avg_requests,min,max
2023-08-01,New Envelope,44494978,70626.9492063492,1,19948914
2023-08-02,New Envelope,43729163,64976.46805349183,1,19198362
2023-08-03,New Envelope,43572700,63983.4067547724,1,19313378
2023-08-04,New Envelope,42682979,69516.25244299675,1,19222600
2023-08-05,New Envelope,40274372,64645.861958266454,1,20532003
2023-08-06,New Envelope,40998701,63269.60030864197,1,21572466
2023-08-07,New Envelope,44793163,68806.7019969278,1,21101037
2023-08-08,New Envelope,42878388,66788.7663551402,1,19327227
2023-08-09,New Envelope,43174163,66626.79475308642,1,20095231
2023-08-10,New Envelope,42170338,61472.795918367345,1,19307473
2023-08-11,New Envelope,41560305,65552.53154574132,1,19522281
2023-08-12,New Envelope,39068634,58398.55605381166,1,19539674
2023-08-13,New Envelope,42231399,66821.83386075949,1,22716095
2023-08-14,New Envelope,41246999,64549.29420970266,1,19297196
2023-08-15,New Envelope,42102042,66302.4283464567,1,21177195
2023-08-16,New Envelope,41381248,63663.45846153846,1,19518139
2023-08-17,New Envelope,42770021,63175.806499261445,1,19919850
2023-08-18,New Envelope,41874388,63542.3186646434,1,19027388
2023-08-19,New Envelope,39883687,60891.125190839695,1,20101874
2023-08-20,New Envelope,41407997,65004.70486656201,1,21468254
2023-08-21,New Envelope,44769584,68559.85298621746,1,20766309
2023-08-22,New Envelope,43004990,65756.86544342508,1,19453444
2023-08-23,New Envelope,43576135,68623.8346456693,1,19581277
2023-08-24,New Envelope,43189108,63049.79270072993,1,19260342
2023-08-25,New Envelope,41940869,65125.57298136646,1,19063135
2023-08-26,New Envelope,40578753,63903.548031496066,1,20069133
2023-08-27,New Envelope,42095528,63492.50075414781,1,21330827
2023-08-28,New Envelope,45155511,67497.0269058296,1,19368992
2023-08-29,New Envelope,45307809,67522.81520119225,1,20134490
2023-08-30,New Envelope,45030937,66811.47922848664,1,19785857
2023-08-31,New Envelope,43747065,67303.17692307693,1,18998418
