day,request_types,total_requests,avg_requests,min,max
2023-09-01,Refresh,83221226,135982.3954248366,1,52651236
2023-09-02,Refresh,83597586,140029.45728643215,1,57464888
2023-09-03,Refresh,91238517,151558.99833887044,1,63786623
2023-09-04,Refresh,98626638,162482.1054365733,1,68855139
2023-09-05,Refresh,96029576,155387.6634304207,1,63844976
2023-09-06,Refresh,91995053,143071.62208398135,1,59950393
2023-09-07,Refresh,89900708,114523.19490445859,1,59247251
2023-09-08,Refresh,86620947,111624.93170103093,1,56998414
2023-09-09,Refresh,87948512,113922.94300518135,1,62744381
2023-09-10,Refresh,91417948,119500.58562091504,1,65483279
2023-09-11,Refresh,92910905,117163.81462799496,1,61365800
2023-09-12,Refresh,90132294,112947.73684210527,1,58636868
2023-09-13,Refresh,96950170,122257.46532156368,1,59563124
2023-09-14,Refresh,115373847,141736.91277641276,1,58582202
2023-09-15,Refresh,109380198,134373.70761670763,1,53824891
2023-09-16,Refresh,107422235,135292.48740554156,1,60339737
2023-09-17,Refresh,113667131,141377.02860696518,1,64098934
2023-09-18,Refresh,115061489,138963.15096618357,1,58651736
2023-09-19,Refresh,108402987,129513.72401433691,1,49035878
2023-09-20,Refresh,113701058,132518.7156177156,1,55937187
2023-09-21,Refresh,112606255,129135.61353211009,1,56818666
2023-09-22,Refresh,107095357,123239.7663981588,1,55802776
2023-09-23,Refresh,109407928,126776.27809965238,1,61609687
2023-09-24,Refresh,114090889,133752.50762016414,1,64804299
2023-09-25,Refresh,116258726,133171.50744558993,1,60799618
2023-09-26,Refresh,111931797,126619.6798642534,1,56638801
2023-09-27,Refresh,112062475,128217.93478260869,1,57564662
2023-09-28,Refresh,110428136,125915.77651083238,1,56994400
2023-09-29,Refresh,111055061,128834.17749419954,1,55366188
2023-09-30,Refresh,111118201,130881.27326266195,1,59402800
