day,request_types,total_requests,avg_requests,min,max
2023-09-01,auth,44456745,53051.00835322196,0,23227064
2023-09-02,auth,43298731,51241.10177514793,0,24970670
2023-09-03,auth,45694549,54398.27261904762,0,27423199
2023-09-04,auth,50494167,60112.10357142857,0,29523427
2023-09-05,auth,49394225,56129.80113636364,0,27027068
2023-09-06,auth,48559641,53070.64590163934,0,26194119
2023-09-07,auth,47049111,41710.20478723404,0,26038719
2023-09-08,auth,45938189,39398.1037735849,0,24754461
2023-09-09,auth,45164695,39618.15350877193,0,26967551
2023-09-10,auth,46980909,41576.02566371681,0,28246980
2023-09-11,auth,49357451,43182.371828521435,0,25909785
2023-09-12,auth,49233317,42007.94965870307,0,25774728
2023-09-13,auth,50427535,42662.889170896786,0,25648237
2023-09-14,auth,54455120,45683.82550335571,0,24810822
2023-09-15,auth,52533625,44747.55110732538,0,23700238
2023-09-16,auth,50096539,43486.578993055555,0,25859094
2023-09-17,auth,52018795,43897.71729957806,0,26773394
2023-09-18,auth,55685386,47231.031382527566,0,25556236
2023-09-19,auth,52632557,42860.388436482084,0,22299550
2023-09-20,auth,54067724,44029.09120521173,0,24427825
2023-09-21,auth,55150145,43562.51579778831,0,24694120
2023-09-22,auth,54228257,42766.76419558359,0,24380290
2023-09-23,auth,53574316,43135.52012882448,0,26597630
2023-09-24,auth,55380000,43640.66193853428,0,28037900
2023-09-25,auth,58722328,46568.063441712926,0,25858425
2023-09-26,auth,57655370,44694.08527131783,0,25217898
2023-09-27,auth,58336564,45433.461059190035,0,26838537
2023-09-28,auth,54265438,43102.015885623514,0,25191504
2023-09-29,auth,52045404,42039.906300484654,0,24169641
2023-09-30,auth,49563080,39461.050955414015,0,25581494
