day,country_code,publisher,config_name,request_types,requests
2023-08-14,US,2,Index Envelope Return,New Envelope,16301.0
2023-08-14,US,6,NA_US_AMC Networks_ATS,New Envelope,13.0
2023-08-14,US,14,Levi9 Envelope Test,New Envelope,8.0
2023-08-14,US,23,Rubicon Envelope Test,New Envelope,6.0
2023-08-14,US,26,NA_US_Hometalk_ATS,New Envelope,119387.0
2023-08-14,US,27,NA_US_Evite_ATS,New Envelope,663386.0
2023-08-14,US,33,NA_US_Newsweek_ATS,New Envelope,1182.0
2023-08-14,US,44,NA_US_Mediavine_ATS,New Envelope,124442.0
2023-08-14,US,66,NA_US_Publishers Clearing House_ATS,New Envelope,114131.0
2023-08-14,US,72,NA_US_Sovrn_ATS,New Envelope,16098.0
2023-08-14,US,84,NA_US_JoeTec_ATS,New Envelope,1228.0
2023-08-14,US,88,NA_US_Insticator_ATS,New Envelope,2.0
2023-08-14,US,90,Launch Potato Config,New Envelope,625.0
2023-08-14,US,101,NA_US_SlickDeals_ATS,New Envelope,34413.0
2023-08-14,US,106,NA_US_Freestar_ATS,New Envelope,2405.0
2023-08-14,US,111,NA_US_Raptive -Cafe Media_ATS,New Envelope,110595.0
2023-08-14,US,115,NA_US_Advanced Digital_ATS,New Envelope,550944.0
2023-08-14,US,122,NA_US_Firefly Engagement_ATS,New Envelope,45528.0
2023-08-14,US,130,NA_US_Mocospace_ATS,New Envelope,3.0
2023-08-14,US,1256,NA_US_American Media Inc_ATS,New Envelope,20302.0
2023-08-14,US,1257,NA_US_24hourcampfire_ATS,New Envelope,29.0
2023-08-14,US,1260,NA_US_Media Tradecraft_ATS,New Envelope,20132.0
2023-08-14,US,1262,NA_US_Nexstar_ATS,New Envelope,28356.0
2023-08-14,US,1263,NA_US_DailyCaller_ATS,New Envelope,466.0
2023-08-14,US,1267,NA_US_Chegg_ATS,New Envelope,26810.0
2023-08-14,US,1270,NA_US_Ziff Davis- EDH_ATS,New Envelope,100557.0
2023-08-14,US,1273,NA_US_Black Press Media - StarAdvertiser_ATS,New Envelope,1095.0
2023-08-14,US,1282,NA_US_TSM Solomid_ATS,New Envelope,274.0
2023-08-14,US,1283,NA_NA-CA_Cox Auto_ATS,New Envelope,3.0
2023-08-14,US,1285,NA_US_Tapatalk_ATS,New Envelope,918.0
2023-08-14,US,1290,NA_US_Lensa_ATS,New Envelope,67910.0
2023-08-14,US,1291,NA_US_Adscend Media_ATS,New Envelope,619.0
2023-08-14,US,1293,NA_US_WebMD_ATS,New Envelope,192439.0
2023-08-14,US,1302,NA_US_KenKen Puzzles_ATS,New Envelope,17.0
2023-08-14,US,1303,NA_US_Clique Brands_ATS,New Envelope,4712.0
2023-08-14,US,1304,NA_US_Shmoop_ATS,New Envelope,1.0
2023-08-14,US,1318,Gannett,New Envelope,3.0
2023-08-14,US,1319,NA_US_USAToday_ATS,New Envelope,200480.0
2023-08-14,US,1320,NA_US_Encyclopedia Britannica_ATS,New Envelope,594.0
2023-08-14,US,1323,NA_US_Adapex_ATS,New Envelope,2066.0
2023-08-14,US,1329,NA_US_Quizlet - Pubmatic_ATS,New Envelope,15401.0
2023-08-14,US,1330,NA_US_United Online_ATS,New Envelope,15955.0
2023-08-14,US,1331,NA_US_EliteProspects.com_ATS,New Envelope,6.0
2023-08-14,US,1333,NA_US_Dictionary.com - Pubmatic_ATS,New Envelope,1.0
2023-08-14,US,1336,NA_US_Prime Publishing_ATS,New Envelope,68919.0
2023-08-14,US,1352,NA_US_Drugs.com_ATS,New Envelope,3812.0
2023-08-14,US,1354,APAC_HK_Networld,New Envelope,97.0
2023-08-14,US,1365,NA_US_Leaf Group - cuteness.com_ATS,New Envelope,18.0
2023-08-14,US,1368,NA_US_Leaf Group - ehow.com_ATS,New Envelope,227.0
2023-08-14,US,1373,NA_US_Leaf Group - goneoutdoors.com_ATS,New Envelope,1.0
2023-08-14,US,1378,NA_US_Leaf Group - hunker.com_ATS,New Envelope,101.0
2023-08-14,US,1383,NA_US_Leaf Group - livestrong.com_ATS,New Envelope,21555.0
2023-08-14,US,1385,NA_US_Leaf Group - onlyinyourstate.com_ATS,New Envelope,350.0
2023-08-14,US,1394,NA_US_Leaf Group - sapling.com_ATS,New Envelope,10.0
2023-08-14,US,1400,NA_US_Leaf Group - techwalla.com_ATS,New Envelope,49.0
2023-08-14,US,1404,NA_US_Paltalk_ATS,New Envelope,1244.0
2023-08-14,US,1405,NA_US_McClatchy_ATS,New Envelope,46901.0
2023-08-14,US,1410,NA_US_Conde Nast - Bon Appetit_ATS,New Envelope,1.0
2023-08-14,US,1418,NA_US_Conde Nast - New Yorker_ATS,New Envelope,2.0
2023-08-14,US,1427,NA_US_LSN.com_ATS,New Envelope,702.0
2023-08-14,US,1434,NA_US_DailyVoice_ATS,New Envelope,17046.0
2023-08-14,US,1436,NA_US_Tribune Publishing_ATS,New Envelope,4638.0
2023-08-14,US,1448,NA_US_Zepto_ATS,New Envelope,1.0
2023-08-14,US,1451,APAC_Digital Photography School_ATS,New Envelope,453.0
2023-08-14,US,1458,NA_US_Monumetric_ATS,New Envelope,4.0
2023-08-14,US,1460,NA_US_Brit & Co_ATS,New Envelope,1.0
2023-08-14,US,1972,NA_US_Legacy.com_ATS,New Envelope,24090.0
2023-08-14,US,1974,NA_US_Healthline_ATS,New Envelope,30247.0
2023-08-14,US,2000,NA_US_Optimism Digital - Inbox Lab_ATS,New Envelope,433148.0
2023-08-14,US,2101,NA_US_Synacor_ATS,New Envelope,4.0
2023-08-14,US,2102,NA_US_iHeartMedia_ATS,New Envelope,82929.0
2023-08-14,US,2103,NA_US_Ziff Davis -ZMG_ATS,New Envelope,6570.0
2023-08-14,US,2124,NA_US_Comcast NBCUniversal NBC News_ATS,New Envelope,5305.0
2023-08-14,US,2146,NA_US_Comcast NBCUniversal MSNBC_ATS,New Envelope,13780.0
2023-08-14,US,2158,NA_US_Comcast NBCUniversal Today.com_ATS,New Envelope,16.0
2023-08-14,US,2161,NA_US_Fandom_ATS,New Envelope,33084.0
2023-08-14,US,2166,NA_US_Vertical Scope_ATS,New Envelope,45469.0
2023-08-14,US,2170,NA_US_Curiosity Media_ATS,New Envelope,260.0
2023-08-14,US,6789,e2etests: scoped env with pel partner id,New Envelope,3168.0
2023-08-14,US,12220,NA_US_PGA Tour_ATS,New Envelope,140.0
2023-08-14,US,12243,EU_UK_Future_Publishing,New Envelope,1292.0
2023-08-14,US,12244,EU_UK_Crash_Media,New Envelope,1.0
2023-08-14,US,13218,NA_US_The Tampa Bay Times_ATS,New Envelope,1471.0
2023-08-14,US,13221,NA_US_Patch_ATS,New Envelope,2920.0
2023-08-14,US,13222,NA_US_Tegna_ATS,New Envelope,48.0
2023-08-14,US,13233,NA_US_Realtor.com_ATS,New Envelope,37583.0
2023-08-14,US,13234,NA_US_Investing Channel_ATS,New Envelope,4026.0
2023-08-14,US,13243,NA_US_Camfrog_ATS,New Envelope,4859.0
2023-08-14,US,13248,NA_US_Salem Media_ATS,New Envelope,23.0
2023-08-14,US,13250,NA_US_Playwire_ATS,New Envelope,207297.0
2023-08-14,US,13251,e2etests: PS - Test Ridealong Open ID Consumer,New Envelope,6240.0
2023-08-14,US,13252,NA_US_Penske Media (PMC)_ATS,New Envelope,24260.0
2023-08-14,US,13253,e2etests: envelope api test,New Envelope,768.0
2023-08-14,US,13254,NA_US_InMobi_ATS,New Envelope,6034492.0
2023-08-14,US,13257,NA_US_MediaNews Group_ATS,New Envelope,3395.0
2023-08-14,US,13258,NA_US_Fox News_ATS,New Envelope,10955.0
2023-08-14,US,13287,APAC_NZME_ATS,New Envelope,123.0
2023-08-14,US,13291,EU_UK_ECG_Gumtree,New Envelope,231.0
2023-08-14,US,13292,NA_US_Vox Media_ATS,New Envelope,4840.0
2023-08-14,US,13294,NA_US_CBS_ATS,New Envelope,195655.0
2023-08-14,US,13296,NA_US_MLB_ATS,New Envelope,36500.0
2023-08-14,US,13297,EU_UK_PlanetSport,New Envelope,1.0
2023-08-14,US,13306,NA_US_TeamSnap_ATS,New Envelope,21076.0
2023-08-14,US,13307,NA_US_Hive Media_ATS,New Envelope,102.0
2023-08-14,US,13310,NA_US_Amazon_ATS,New Envelope,1982.0
2023-08-14,US,13345,NA_US_Tubi_ATS,New Envelope,19297196.0
2023-08-14,US,13346,NA_US_Adnimation_ATS,New Envelope,31.0
2023-08-14,US,13349,NA_US_Apartment Therapy_ATS,New Envelope,36569.0
2023-08-14,US,13353,NA_US_Maven.io_ATS,New Envelope,1771.0
2023-08-14,US,13360,NA_US_Wikihow_ATS,New Envelope,41.0
2023-08-14,US,13361,NA_US_Discovery_ATS,New Envelope,5595.0
2023-08-14,US,13363,e2etests: idl,New Envelope,240.0
2023-08-14,US,13396,NA_US_FloSports_ATS,New Envelope,4814.0
2023-08-14,US,13401,NA_US_Signup Genius_ATS,New Envelope,220408.0
2023-08-14,US,13402,NA_US_Cox Media Group (CMG)_ATS_ATS4M,New Envelope,115860.0
2023-08-14,US,13408,NA_US_Medscape_ATS,New Envelope,85776.0
2023-08-14,US,13428,NA_US_Flipboard_ATS,New Envelope,5.0
2023-08-14,US,13429,NA_US_ES.TV_ATS,New Envelope,16354.0
2023-08-14,US,13440,NA_US_Den of Geek_ATS,New Envelope,7.0
2023-08-14,US,13442,NA_US_Dell_ATS4M,New Envelope,14929.0
2023-08-14,US,13452,NA_US_Warner Media CNN_ATS,New Envelope,48294.0
2023-08-14,US,13453,NA_US_Longitude_ATS,New Envelope,222.0
2023-08-14,US,13468,NA_US_slate_ATS,New Envelope,9996.0
2023-08-14,US,13469,NA_US_Internet Brands - Pulsepoint_ATS,New Envelope,86458.0
2023-08-14,US,13484,e2etests: QE BBIDL (Ian Test),New Envelope,200.0
2023-08-14,US,13485,env to idl load test - kia,New Envelope,2880.0
2023-08-14,US,13496,NA_US_Maurices_ATS4M,New Envelope,29562.0
2023-08-14,US,13516,NA_US_News Corp - Dow Jones_ATS,New Envelope,197153.0
2023-08-14,US,13527,NA_US_Trulia_ATS,New Envelope,63652.0
2023-08-14,US,13529,NA_US_TripAdvisor_ATS,New Envelope,115895.0
2023-08-14,US,13538,EU_FR_Freepik,New Envelope,5.0
2023-08-14,US,13544,NA_US_American Eagle_ATS4M,New Envelope,41160.0
2023-08-14,US,13553,NA_US_disqus_ATS,New Envelope,23945.0
