day,country_code,publisher,config_name,request_types,requests
2023-08-15,US,2,Index Envelope Return,New Envelope,16261.0
2023-08-15,US,2,Index Envelope Return,RTIS,31164850.0
2023-08-15,US,2,Index Envelope Return,Refresh,2880.0
2023-08-15,US,2,Index Envelope Return,auth,10015.90784
2023-08-15,US,6,NA_US_AMC Networks_ATS,New Envelope,8.0
2023-08-15,US,6,NA_US_AMC Networks_ATS,Refresh,14.0
2023-08-15,US,6,NA_US_AMC Networks_ATS,auth,7.947519999999999
2023-08-15,US,14,Levi9 Envelope Test,New Envelope,10.0
2023-08-15,US,14,Levi9 Envelope Test,Refresh,632.0
2023-08-15,US,14,Levi9 Envelope Test,auth,157.4144
2023-08-15,US,23,Rubicon Envelope Test,New Envelope,1.0
2023-08-15,US,23,Rubicon Envelope Test,auth,0.57344
2023-08-15,US,24,Gourmet Ads,RTIS,189.0
2023-08-15,US,24,Gourmet Ads,auth,0.0
2023-08-15,US,26,NA_US_Hometalk_ATS,New Envelope,106694.0
2023-08-15,US,26,NA_US_Hometalk_ATS,RTIS,33957.0
2023-08-15,US,26,NA_US_Hometalk_ATS,Refresh,9.0
2023-08-15,US,26,NA_US_Hometalk_ATS,auth,61184.76736
2023-08-15,US,27,NA_US_Evite_ATS,New Envelope,668913.0
2023-08-15,US,27,NA_US_Evite_ATS,auth,383581.47072
2023-08-15,US,33,NA_US_Newsweek_ATS,New Envelope,1448.0
2023-08-15,US,33,NA_US_Newsweek_ATS,RTIS,860485.0
2023-08-15,US,33,NA_US_Newsweek_ATS,Refresh,3373.0
2023-08-15,US,33,NA_US_Newsweek_ATS,auth,1639.8611199999998
2023-08-15,US,44,NA_US_Mediavine_ATS,New Envelope,120443.0
2023-08-15,US,44,NA_US_Mediavine_ATS,auth,69066.83391999999
2023-08-15,US,47,Topito,RTIS,66.0
2023-08-15,US,47,Topito,auth,0.0
2023-08-15,US,56,NA_US_IBTimes_ATS,RTIS,3857.0
2023-08-15,US,56,NA_US_IBTimes_ATS,auth,0.0
2023-08-15,US,66,NA_US_Publishers Clearing House_ATS,New Envelope,112879.0
2023-08-15,US,66,NA_US_Publishers Clearing House_ATS,RTIS,255271.0
2023-08-15,US,66,NA_US_Publishers Clearing House_ATS,Refresh,546680.0
2023-08-15,US,66,NA_US_Publishers Clearing House_ATS,auth,195932.53375999996
2023-08-15,US,72,NA_US_Sovrn_ATS,New Envelope,18207.0
